,annotatable_entities,annotated_entities,coverage,consistent_entities,consistency,specificity
BIOMD0000000296.xml,17,17,1.0,16,0.94,0.63
BIOMD0000000282.xml,11,11,1.0,10,0.91,0.73
BIOMD0000000719.xml,18,11,0.61,11,1.0,0.68
BIOMD0000000731.xml,45,5,0.11,5,1.0,1.0
BIOMD0000000057.xml,13,7,0.54,7,1.0,0.96
BIOMD0000000043.xml,16,14,0.88,14,1.0,0.89
BIOMD0000000725.xml,84,81,0.96,81,1.0,1.0
BIOMD0000000916.xml,11,,0.0,,,
BIOMD0000000902.xml,13,4,0.31,3,0.75,0.73
BIOMD0000000094.xml,82,59,0.72,56,0.95,0.78
BIOMD0000000080.xml,18,11,0.61,8,0.73,0.74
BIOMD0000000081.xml,42,24,0.57,23,0.96,0.93
BIOMD0000000095.xml,68,65,0.96,58,0.89,0.78
BIOMD0000000903.xml,17,,0.0,,,
BIOMD0000000917.xml,8,1,0.12,1,1.0,0.84
BIOMD0000000042.xml,42,34,0.81,32,0.94,0.96
BIOMD0000000724.xml,69,58,0.84,52,0.9,1.0
BIOMD0000000730.xml,155,32,0.21,32,1.0,1.0
BIOMD0000000056.xml,150,132,0.88,117,0.89,0.8
BIOMD0000000718.xml,47,7,0.15,7,1.0,0.9
BIOMD0000000283.xml,8,7,0.88,6,0.86,0.93
BIOMD0000000297.xml,72,72,1.0,70,0.97,0.69
BIOMD0000000526.xml,39,10,0.26,9,0.9,0.94
BIOMD0000000240.xml,22,22,1.0,20,0.91,0.84
BIOMD0000000254.xml,6,6,1.0,3,0.5,0.85
BIOMD0000000532.xml,6,1,0.17,1,1.0,0.93
BIOMD0000000268.xml,110,91,0.83,88,0.97,0.95
BIOMD0000000491.xml,147,42,0.29,41,0.98,0.98
BIOMD0000000485.xml,8,4,0.5,4,1.0,0.72
BIOMD0000000452.xml,228,39,0.17,38,0.97,0.99
BIOMD0000000334.xml,142,68,0.48,68,1.0,0.84
BIOMD0000000320.xml,31,31,1.0,27,0.87,0.88
BIOMD0000000446.xml,94,6,0.06,6,1.0,0.98
BIOMD0000000308.xml,14,14,1.0,13,0.93,0.78
BIOMD0000001002.xml,92,78,0.85,77,0.99,0.96
BIOMD0000000693.xml,29,2,0.07,1,0.5,0.67
BIOMD0000000687.xml,42,21,0.5,20,0.95,0.59
BIOMD0000000877.xml,15,6,0.4,6,1.0,0.79
BIOMD0000000863.xml,21,11,0.52,11,1.0,0.75
BIOMD0000000136.xml,2,2,1.0,1,0.5,1.0
BIOMD0000000650.xml,5,,0.0,,,
BIOMD0000000888.xml,14,,0.0,,,
BIOMD0000000644.xml,8,4,0.5,4,1.0,0.96
BIOMD0000000122.xml,34,30,0.88,30,1.0,0.8
BIOMD0000000678.xml,10,8,0.8,8,1.0,0.84
BIOMD0000000108.xml,28,13,0.46,12,0.92,0.8
BIOMD0000000652.xml,119,102,0.86,101,0.99,0.77
BIOMD0000000134.xml,2,2,1.0,1,0.5,1.0
BIOMD0000000120.xml,17,16,0.94,15,0.94,0.87
BIOMD0000000646.xml,44,17,0.39,17,1.0,0.78
BIOMD0000000875.xml,14,1,0.07,1,1.0,0.74
BIOMD0000000861.xml,65,37,0.57,37,1.0,0.76
BIOMD0000000691.xml,41,25,0.61,25,1.0,0.95
BIOMD0000000849.xml,50,,0.0,,,
BIOMD0000000685.xml,2,1,0.5,1,1.0,0.61
BIOMD0000000478.xml,74,16,0.22,15,0.94,1.0
BIOMD0000001000.xml,92,78,0.85,77,0.99,0.96
BIOMD0000000336.xml,40,12,0.3,12,1.0,1.0
BIOMD0000000450.xml,132,99,0.75,96,0.97,0.96
BIOMD0000000444.xml,42,42,1.0,41,0.98,0.83
BIOMD0000000322.xml,15,6,0.4,1,0.17,0.31
BIOMD0000000493.xml,11,2,0.18,2,1.0,0.84
BIOMD0000000487.xml,14,14,1.0,12,0.86,0.63
BIOMD0000000518.xml,15,1,0.07,1,1.0,0.72
BIOMD0000000242.xml,20,17,0.85,14,0.82,0.77
BIOMD0000000524.xml,33,10,0.3,9,0.9,0.94
BIOMD0000000530.xml,29,4,0.14,4,1.0,0.8
BIOMD0000000256.xml,86,86,1.0,84,0.98,0.69
BIOMD0000000281.xml,56,56,1.0,53,0.95,0.9
BIOMD0000000295.xml,16,16,1.0,16,1.0,0.72
BIOMD0000000068.xml,14,13,0.93,12,0.92,1.0
BIOMD0000000726.xml,34,8,0.24,8,1.0,1.0
BIOMD0000000040.xml,12,3,0.25,3,1.0,0.92
BIOMD0000000054.xml,10,4,0.4,3,0.75,0.87
BIOMD0000000732.xml,13,4,0.31,4,1.0,0.94
BIOMD0000000901.xml,5,,0.0,,,
